Year,Semester,IncomingSmith,NumStud,CourseEnrollments,NumDiffCourse
2013,Fall,Amherst,33,34,20
2013,Fall,Hampshire,208,272,173
2013,Fall,MtHolyoke,97,116,96
2013,Fall,UMASS,50,61,48
2014,Fall,Amherst,43,44,19
2014,Fall,Hampshire,124,174,128
2014,Fall,MtHolyoke,67,80,63
2014,Fall,UMASS,40,47,34
2015,Fall,Amherst,20,22,21
2015,Fall,Hampshire,126,165,128
2015,Fall,MtHolyoke,109,125,83
2015,Fall,UMASS,35,38,28
2016,Fall,Amherst,30,32,24
2016,Fall,Hampshire,132,166,120
2016,Fall,MtHolyoke,92,109,85
2016,Fall,UMASS,60,66,49
2017,Fall,Amherst,31,36,29
2017,Fall,Hampshire,121,160,122
2017,Fall,MtHolyoke,94,114,75
2017,Fall,UMASS,59,70,43
2014,Spring,Amherst,43,48,30
2014,Spring,Hampshire,193,275,190
2014,Spring,MtHolyoke,142,164,109
2014,Spring,UMASS,62,71,60
2015,Spring,Amherst,32,37,28
2015,Spring,Hampshire,195,252,170
2015,Spring,MtHolyoke,145,170,110
2015,Spring,UMASS,59,66,50
2016,Spring,Amherst,75,81,39
2016,Spring,Hampshire,167,208,148
2016,Spring,MtHolyoke,131,159,107
2016,Spring,UMASS,60,67,47
2017,Spring,Amherst,75,81,39
2017,Spring,Hampshire,158,199,144
2017,Spring,MtHolyoke,130,158,106
2017,Spring,UMASS,59,66,47
2018,Spring,Amherst,70,73,39
2018,Spring,Hampshire,139,184,142
2018,Spring,MtHolyoke,97,116,84
2018,Spring,UMASS,60,77,59
